fund_id,allocation_group,sequence,buysell_approach,purchase_method
trad_fund,cash,5,residual,not_used
trad_fund,equity,1,buy_sell,scale_up_existing
trad_fund,private_equity,2,buy_sell,scale_up_existing
trad_fund,govt_bond,3,buy_hold,purchase_profile
trad_fund,corp_bond,4,buy_sell,purchase_profile
cd1_fund,cash,5,residual,not_used
cd1_fund,equity,1,buy_sell,scale_up_existing
cd1_fund,private_equity,2,buy_sell,scale_up_existing
cd1_fund,govt_bond,3,buy_hold,purchase_profile
cd1_fund,corp_bond,4,buy_sell,purchase_profile
cd2_fund,cash,5,residual,not_used
cd2_fund,equity,1,buy_sell,purchase_profile
cd2_fund,private_equity,2,buy_sell,purchase_profile
cd2_fund,govt_bond,3,buy_hold,purchase_profile
cd2_fund,corp_bond,4,buy_sell,purchase_profile
sh_fund,cash,5,residual,not_used
sh_fund,equity,1,no_trade,not_used
sh_fund,private_equity,2,no_trade,not_used
sh_fund,govt_bond,3,no_trade,not_used
sh_fund,corp_bond,4,no_trade,not_used
