maturity,market_curve_1
1,0.01081423
2,0.011374707
3,0.011881485
4,0.012960708
5,0.014211998
6,0.01514501
7,0.016009559
8,0.016590377
9,0.016765876
10,0.016972176
11,0.017344624
12,0.017775376
13,0.01824194
14,0.018721133
15,0.019188843
16,0.019601912
17,0.019926558
18,0.020151785
19,0.020266497
20,0.020265878
21,0.020208573
22,0.020118737
23,0.020005317
24,0.01987744
25,0.019744374
26,0.019615512
27,0.019500362
28,0.019408569
29,0.01934996
30,0.019334329
31,0.019361466
32,0.019423387
33,0.019512716
34,0.019621924
35,0.019743264
36,0.019868703
37,0.019989877
38,0.020098072
39,0.020184216
40,0.020238925
41,0.020270094
42,0.020292779
43,0.02030813
44,0.020317336
45,0.020321623
46,0.020322254
47,0.020320526
48,0.020317772
49,0.020315361
50,0.0203147
