#,asset_id,tag__bond_code,tag__bond_type,allocation_group,currency_id,fund_id,issue_date,maturity_date,coupon_rate,coupon_freq,provided_cash_flow_id,face_value,rf_curve_id,mv_price_dirty,market_spread,abv_price_dirty,units,credit_band_id,asset_classification,build_pipeline
1,trad_HTM_18附息国债06,180006,国债,govt_bond,cny,trad_fund,2018/3/16,2048/3/19,0.0422,2,none,100,cny_rf,143.47352,0.0001,101.049493,280,none,AC,market_spread|>amort_rate
2,cd1_HTM_20附息国债07,200007,国债,govt_bond,cny,cd1_fund,2020/5/22,2070/5/25,0.0373,2,none,100,cny_rf,153.112638,-0.00005,100.308445,40,none,AC,market_price
3,cd2_HTM_22附息国债12,220012,国债,govt_bond,cny,cd2_fund,2022/6/14,2029/6/15,0.0275,1,none,100,cny_rf,107.414911,0,101.365675,60,none,AC,market_spread
4,trad_HTM_18附息国债06_,180006,国债,govt_bond,cny,trad_fund,2018/3/16,2048/3/19,0.0422,2,none,100,cny_rf,143.47352,0.0001,101.049493,280,none,AC,market_price
5,cd1_AFS_20附息国债07,200007,国债,govt_bond,cny,cd1_fund,2020/5/22,2070/5/25,0.0373,2,none,100,cny_rf,153.112638,-0.00005,100.308445,30,none,FVOCI,market_spread
6,cd2_AFS_22附息国债12,220012,国债,govt_bond,cny,cd2_fund,2022/6/14,2029/6/15,0.0275,1,none,100,cny_rf,107.414911,0,101.365675,30,none,FVOCI,market_price
7,trad_AFS_19铁道04,1980221,企业债,corp_bond,cny,trad_fund,2019/7/24,2039/7/25,0.041,1,none,100,cny_rf,128.900209,0.001,101.688335,450,AAA,FVOCI,market_spread
8,cd1_AFS_21铁道18,2180460,企业债,corp_bond,cny,cd1_fund,2021/11/18,2051/11/19,0.0375,1,none,100,cny_rf,134.660393,0.0015,100.307254,50,AA,FVOCI,market_spread
9,cd2_HFT_23铁道15,2380276,企业债,corp_bond,cny,cd2_fund,2023/9/13,2033/9/14,0.0294,1,none,100,cny_rf,110.745789,0.0005,100.727033,50,AAA,FVTPL,market_spread
10,trad_HFT_19铁道04,1980221,企业债,corp_bond,cny,trad_fund,2019/7/24,2039/7/25,0.041,1,none,100,cny_rf,128.900209,0.001,101.688335,110,AA,FVTPL,market_spread
11,cd1_HFT_21铁道18,2180460,企业债,corp_bond,cny,cd1_fund,2021/11/18,2051/11/19,0.0375,1,none,100,cny_rf,134.660393,0.0015,100.307254,20,AAA,FVTPL,market_spread
12,cd2_HFT_23铁道15_,2380276,企业债,corp_bond,cny,cd2_fund,2023/9/13,2033/9/14,0.0294,1,none,100,cny_rf,110.745789,0.0005,100.727033,40,AA,FVTPL,market_spread
13,dmy_HTM_redem2503,dmy_redem2503,企业债,govt_bond,cny,trad_fund,2018/3/16,2025/3/19,0.04,2,none,100,cny_rf,101.726086,0.0001,100.995049,1,none,AC,market_spread
14,dmy_HTM_redem2509,dmy_redem2509,企业债,govt_bond,cny,trad_fund,2020/9/22,2025/9/25,0.03,2,none,100,cny_rf,102.184206,-0.00005,100.747208,1,none,AC,market_price
15,dmy_HTM_redem2606_AC,dmy_redem2606,企业债,govt_bond,cny,trad_fund,2022/6/14,2026/6/15,0.02,1,test_repay,100,cny_rf,102.273363,0,100.995049,1,none,AC,market_spread
16,24贴现国债69,249969,贴现,govt_bond,cny,trad_fund,2024/11/20,2025/5/22,0,0,none,100,cny_rf,99.493,0.001459431,99.493,1,none,AC,market_spread
17,24农发31,240431,利随本清,govt_bond,cny,trad_fund,2024/9/26,2025/10/16,0.0148,0,none,100,cny_rf,100.242,0.004024148,100.242,1,none,AC,market_spread
20,24贴现国债69_,249969,贴现,govt_bond,cny,trad_fund,2024/11/20,2025/5/22,0,0,none,100,cny_rf,99.493,0.001459431,99.493,1,none,AC,market_price
21,24农发31_,240431,利随本清,govt_bond,cny,trad_fund,2024/9/26,2025/10/16,0.0148,0,none,100,cny_rf,100.242,0.004024148,100.242,1,none,AC,market_price
